loc	GRCh38.p13-Dombi-23_ATAC_2.samtools-coordinate	GRCh38.p13-Dombi-23_ATAC_1.samtools-coordinate	GRCh38.p13-PKC19_ATAC_4.samtools-coordinate	GRCh38.p13-PKC19_ATAC_1.samtools-coordinate	GRCh38.p13-PKC19_ATAC_2.samtools-coordinate	GRCh38.p13-PKC19_ATAC_3.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_4.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_1.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_2.samtools-coordinate	GRCh38.p13-PRIM_LSC_ATAC_3.samtools-coordinate	GRCh38.p13-GSM4728093.samtools-coordinate	GRCh38.p13-GSM4728094.samtools-coordinate
1:10001-10201	0.0	0.0	0.0	3.0	0.0	2.0	0.0	2.0	2.0	2.0	3.0	41.0
1:56215-56415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	14.0	111.0
1:127704-127904	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	44.0
1:180742-180942	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	3.0	0.0	30.0
1:191410-191610	0.0	3.0	1.0	2.0	3.0	6.0	0.0	0.0	0.0	2.0	6.0	27.0
1:267907-268107	0.0	0.0	0.0	3.0	0.0	2.0	5.0	0.0	0.0	8.0	4.0	57.0
1:502531-502731	0.0	0.0	0.0	0.0	2.0	4.0	5.0	0.0	0.0	18.0	13.0	90.0
1:586088-586288	0.0	0.0	0.0	0.0	5.0	0.0	5.0	2.0	0.0	2.0	2.0	31.0
1:629078-629278	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	235.0	310.0
1:629834-630034	44.0	57.0	4.0	15.0	16.0	9.0	16.0	4.0	2.0	50.0	67.0	161.0
1:629881-630081	44.0	57.0	4.0	15.0	17.0	9.0	16.0	4.0	2.0	50.0	67.0	156.0
1:630365-630565	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	2.0	53.0	132.0
1:633906-634106	55.0	73.0	38.0	55.0	67.0	47.0	60.0	25.0	28.0	93.0	256.0	316.0
1:633945-634145	55.0	73.0	38.0	55.0	67.0	47.0	60.0	25.0	28.0	97.0	256.0	316.0
1:778586-778786	4.0	16.0	49.0	63.0	47.0	62.0	28.0	18.0	25.0	136.0	35.0	201.0
1:778592-778792	4.0	16.0	50.0	63.0	47.0	62.0	28.0	19.0	25.0	135.0	35.0	202.0
1:778761-778961	4.0	18.0	42.0	41.0	37.0	47.0	14.0	11.0	21.0	84.0	28.0	260.0
1:817152-817352	4.0	3.0	4.0	16.0	16.0	16.0	0.0	3.0	2.0	27.0	0.0	2.0
1:817286-817486	6.0	2.0	4.0	20.0	18.0	15.0	0.0	4.0	3.0	34.0	0.0	0.0
1:817299-817499	6.0	2.0	4.0	20.0	18.0	14.0	0.0	4.0	3.0	35.0	0.0	0.0
1:827419-827619	0.0	11.0	22.0	26.0	37.0	31.0	15.0	4.0	20.0	60.0	22.0	224.0
1:827478-827678	0.0	9.0	21.0	21.0	27.0	30.0	15.0	4.0	16.0	49.0	26.0	228.0
1:867661-867861	0.0	0.0	7.0	8.0	5.0	4.0	8.0	0.0	2.0	13.0	6.0	69.0
1:869805-870005	0.0	3.0	7.0	22.0	17.0	20.0	16.0	8.0	9.0	30.0	6.0	76.0
1:869818-870018	0.0	3.0	7.0	22.0	17.0	20.0	16.0	8.0	9.0	29.0	7.0	77.0
1:877106-877306	0.0	1.0	1.0	4.0	2.0	4.0	0.0	0.0	0.0	10.0	0.0	22.0
1:904567-904767	5.0	6.0	15.0	23.0	18.0	23.0	12.0	11.0	11.0	37.0	12.0	140.0
1:904700-904900	1.0	10.0	21.0	41.0	24.0	32.0	18.0	14.0	16.0	43.0	9.0	105.0
1:906815-907015	2.0	4.0	18.0	20.0	26.0	18.0	21.0	8.0	10.0	56.0	23.0	166.0
1:906846-907046	2.0	5.0	17.0	23.0	24.0	16.0	22.0	9.0	9.0	67.0	23.0	172.0
1:911251-911451	6.0	18.0	52.0	42.0	49.0	45.0	33.0	16.0	17.0	94.0	23.0	166.0
1:911257-911457	6.0	18.0	50.0	42.0	48.0	45.0	34.0	16.0	18.0	93.0	23.0	167.0
1:921144-921344	1.0	2.0	10.0	20.0	19.0	9.0	10.0	9.0	16.0	61.0	7.0	111.0
1:921254-921454	1.0	2.0	7.0	18.0	13.0	8.0	6.0	10.0	12.0	48.0	8.0	72.0
1:923709-923909	1.0	1.0	8.0	18.0	17.0	21.0	7.0	5.0	8.0	22.0	6.0	83.0
1:923795-923995	0.0	0.0	9.0	20.0	9.0	24.0	5.0	5.0	8.0	16.0	6.0	80.0
1:924760-924960	0.0	0.0	3.0	10.0	9.0	15.0	10.0	4.0	6.0	22.0	6.0	48.0
1:933160-933360	0.0	2.0	3.0	5.0	5.0	4.0	16.0	5.0	6.0	25.0	10.0	59.0
1:938181-938381	0.0	4.0	9.0	19.0	22.0	9.0	14.0	13.0	3.0	39.0	7.0	105.0
1:940326-940526	0.0	4.0	11.0	21.0	9.0	10.0	5.0	7.0	14.0	27.0	1.0	81.0
1:941636-941836	0.0	2.0	13.0	23.0	17.0	12.0	20.0	9.0	11.0	34.0	8.0	112.0
1:943185-943385	0.0	0.0	5.0	6.0	8.0	7.0	3.0	6.0	7.0	9.0	4.0	71.0
1:959198-959398	0.0	19.0	36.0	62.0	41.0	56.0	33.0	23.0	27.0	109.0	20.0	145.0
1:959202-959402	0.0	19.0	36.0	63.0	40.0	55.0	34.0	23.0	27.0	110.0	20.0	146.0
1:960456-960656	2.0	8.0	21.0	30.0	30.0	30.0	21.0	7.0	9.0	79.0	17.0	100.0
1:960490-960690	2.0	8.0	23.0	31.0	31.0	29.0	21.0	8.0	7.0	77.0	17.0	102.0
1:966077-966277	3.0	3.0	19.0	35.0	24.0	26.0	40.0	14.0	27.0	56.0	18.0	156.0
1:966347-966547	0.0	6.0	35.0	45.0	39.0	45.0	12.0	18.0	23.0	73.0	32.0	240.0
1:966357-966557	0.0	6.0	33.0	45.0	39.0	44.0	14.0	19.0	23.0	74.0	33.0	241.0
1:966896-967096	2.0	12.0	41.0	45.0	47.0	52.0	29.0	22.0	38.0	84.0	26.0	195.0
1:966917-967117	2.0	13.0	40.0	47.0	45.0	50.0	29.0	22.0	38.0	83.0	28.0	200.0
1:968039-968239	0.0	0.0	19.0	28.0	33.0	18.0	26.0	0.0	5.0	27.0	15.0	124.0
1:968047-968247	0.0	0.0	17.0	30.0	35.0	19.0	26.0	0.0	5.0	30.0	15.0	124.0
1:976119-976319	3.0	8.0	30.0	35.0	37.0	55.0	16.0	22.0	24.0	90.0	27.0	203.0
